,luas,tekstur,label
besar-_-bersih-01.jpg,0.9054101893118751,1.2871956058949123,3
besar-_-bersih-02.jpg,0.9054101893118751,1.154548456428909,3
besar-_-bersih-03.jpg,0.9054101893118751,1.3042718770988666,3
besar-_-bersih-04.jpg,0.9054101893118751,0.5445304603236554,1
besar-_-bersih-05.jpg,0.8974560244352655,0.741071217586107,1
besar-_-bersih-06.jpg,0.9054101893118751,1.0513043885389188,3
besar-_-bersih-07.jpg,0.9054101893118751,1.1753813368713157,3
besar-_-bersih-08.jpg,0.9054101893118751,0.5843549652571162,1
besar-_-bersih-09.jpg,0.9054101893118751,0.5686791364566458,1
besar-_-bersih-10.jpg,0.9054101893118751,1.01374539096685,3
besar-_-kotor-01.jpg,0.9054101893118751,1.3042718770988666,3
besar-_-kotor-02.jpg,0.9054101893118751,1.3042718770988666,3
besar-_-kotor-03.jpg,0.9054101893118751,1.3042718770988666,3
besar-_-kotor-04.jpg,0.9054101893118751,1.3042718770988666,3
besar-_-kotor-05.jpg,0.9054101893118751,1.3042718770988666,3
besar-_-kotor-06.jpg,0.9054101893118751,1.3042718770988666,3
besar-_-kotor-07.jpg,0.9054101893118751,1.3042718770988666,3
besar-_-kotor-08.jpg,0.9054101893118751,1.3042718770988666,3
besar-_-kotor-09.jpg,0.9054101893118751,1.1807952886016788,3
besar-_-kotor-10.jpg,0.9054101893118751,1.0010588269104947,3
kecil-_-bersih-01.jpg,1.9638922376425962,0.5271080648524092,2
kecil-_-bersih-02.jpg,1.9993501104263625,0.68657296552436,2
kecil-_-bersih-03.jpg,1.999995140042763,0.5006778774990475,2
kecil-_-bersih-04.jpg,1.9994077039461986,1.0062709403640022,4
kecil-_-bersih-05.jpg,1.9994750315985523,0.8908193360719302,2
kecil-_-bersih-06.jpg,1.6328610849109693,0.7136778884344624,2
kecil-_-bersih-07.jpg,1.953869068808217,0.8159641776423222,2
kecil-_-bersih-08.jpg,1.9993414141980193,0.68657296552436,2
kecil-_-bersih-09.jpg,1.7377415668979304,0.7115730236182787,2
kecil-_-bersih-10.jpg,1.9999996521288061,0.6295472764265482,2
kecil-_-kotor-01.jpg,0.7509772442536766,1.3042718770988666,3
kecil-_-kotor-02.jpg,1.8571651028681373,1.268506857863069,4
kecil-_-kotor-03.jpg,1.8822244551216587,0.5387334349529823,2
kecil-_-kotor-04.jpg,0.7946615120408114,1.3042718770988666,3
kecil-_-kotor-05.jpg,0.9054101893118751,1.134642207533616,3
kecil-_-kotor-06.jpg,0.8284923796091637,1.3042718770988666,3
kecil-_-kotor-07.jpg,1.7844472630700439,0.7736517986016024,2
kecil-_-kotor-08.jpg,0.7308056193586405,1.3042718770988666,3
kecil-_-kotor-09.jpg,0.6646321493009806,0.6432927300494848,1
kecil-_-kotor-10.jpg,0.804771085411824,1.221482587451928,3
bersih bawah (1).jpg,0.9054101893118751,1.3042718770988666,3
bersih bawah (10).jpg,0.9054101893118751,1.174147347151607,3
bersih bawah (11).jpg,0.9054101893118751,1.3042718770988666,3
bersih bawah (12).jpg,0.9054101893118751,1.1753813368713157,3
bersih bawah (13).jpg,0.9054101893118751,1.3042718770988666,3
bersih bawah (14).jpg,0.9054101893118751,1.1891660737590164,3
bersih bawah (15).jpg,0.9054101893118751,0.5984995036196161,1
bersih bawah (16).jpg,0.9054101893118751,0.5493720689369929,1
bersih bawah (17).jpg,0.9054101893118751,1.026485575329697,3
bersih bawah (18).jpg,0.9054101893118751,0.6289826945853432,1
bersih bawah (19).jpg,0.9054101893118751,0.5843549652571162,1
bersih bawah (2).jpg,0.9054101893118751,1.3042718770988666,3
